Order,Family,Species,Occurrence,FishBase name,Name in Country,Size / Weight / Age,Short Description,Biology,Threat To Humans,IUCN Red List Status
Acanthuriformes,Acanthuridae,Acanthurus leucosternon,native,Powderblue surgeonfish,Alakan,"Maturity: Lm 13.8  range ? - ? cm
Max length : 54.0 cm TL male/unsexed; (Ref. 30573); common length : 19.0 cm TL male/unsexed; (Ref. 30573)",Dorsal spines (total): 9; Dorsal soft rays (total): 28-30; Anal spines: 3; Anal soft rays: 23 - 26. Blue with a white chest (Ref. 3145). Head black with a broad white band from pectoral-fin base to throat. No distinct white spot or broad white band below eye. Dorsal fin yellow (except white margin and black submarginal line). Anal and pelvic fins white (Ref 9808).,"Inhabits shallow, clear coastal and island coral reefs (Ref. 9710). Usually found on reef flats and along upper seaward slopes (Ref. 9710). May occur singly or in large feeding aggregations. Monogamous (Ref. 52884). Feeds on benthic algae; on small, sparsely scattered algae and small growths in crevices (Ref. 28026). Caught with nets (Ref. 30573). Marketed fresh.",  Harmless,  Least Concern (LC) ; Date assessed: 03 May 2010
Acanthuriformes,Acanthuridae,Acanthurus lineatus,native,Lined surgeonfish,Combo,"Maturity: Lm 18.0  range ? - ? cm
Max length : 38.0 cm TL male/unsexed; (Ref. 3145); common length : 25.0 cm TL male/unsexed; (Ref. 30573); max. reported age: 46 years (Ref. 27143)","Dorsal spines (total): 9; Dorsal soft rays (total): 27-30; Anal spines: 3; Anal soft rays: 25 - 28. This species is distinguished by having the following characters: body deep and compressed, depth 2.1-3 times in standard length or SL (body of juveniles relatively deeper than that of adults); snout 5.2-5.7 times in SL; mouth small; teeth spatulate, close-set, with denticulate edges; total gill rakers on first gill arch 14-16; continuous unnotched dorsal fin IX,27-30 soft rays; A III,25-28; caudal fin deeply lunate with concavity 3.3-4.5 times in SL; a lancet-like spine on each side of caudal peduncle which folds into a deep horizontal groove, this spine long, 1.9-2.5 times in head length, and venomous; stomach thin-walled. Colour of body with upper 3/4 with alternating black-edged blue and yellow stripes and those on the head mainly diagonal; lower fourth pale lavender to bluish white; dorsal fin finely striped pale blue and yellowish; anal fin grey with a yellow basal band and a light blue margin; caudal fin blackish with a large, grey crescent centroposteriorly, edged at the front in bluish white and at the posterior margin with black; pectoral fins are pale except basally where they are coloured like the body; pelvic fins yellow-orange with a white lateral margin and a blackish submarginal line (Ref. 9808).","Benthopelagic (Ref. 58302). Adults usually form schools and commonly found in shallow gutters. Juveniles solitary and secretive on shallow rubble habitats (Ref. 48637). A territorial species (Ref. 167) which is common in surge zones of exposed seaward reefs. The large male controls well-defined feeding territories and harems of females (Ref. 1602, 48637). The species is almost continually in motion. Herbivorous but also feeds on crustaceans (Ref. 5503). Forms spawning aggregations (Ref. 27825). Diurnal species (Ref. 113699:31); courtship takes place at various times of the day, spawning peaks in the morning, but may also occur from midday to afternoon, and is often confined to ebb tides (Ref. 38697). The venomous caudal spine can cause painful wounds.",  Venomous (Ref. 4821),  Least Concern (LC) ; Date assessed: 03 May 2010
Acanthuriformes,Acanthuridae,Acanthurus mata,native,Elongate surgeonfish,Pala,"Maturity: Lm ?  range ? - ? cm
Max length : 50.0 cm TL male/unsexed; (Ref. 3145); max. reported age: 23 years (Ref. 52229)","Dorsal spines (total): 9; Dorsal soft rays (total): 24-26; Anal spines: 3; Anal soft rays: 23 - 24. This species is distinguished by the following characters: body moderately deep and compressed, its depth 2.1-2.5 times in standard length or SL (smaller individuals are deeper-bodied); snout relatively short, 6-6.9 times in SL; eye 3.2-4.5 times in head length (at 12-28 cm SL); mouth small; teeth spatulate, close-set, with denticulate edges, and small for the genus; total gill rakers on first gill arch 13-15; continuous, unnotched dorsal fin IX,24-26; A III,23-24; caudal fin emarginate to lunate, concavity 6.5-9 times in SL (concavity is greater in larger individuals); caudal peduncle narrow, the least depth 10-12 times in SL with a lancet-like spine on each side which folds into a deep horizontal groove; stomach large, U-shaped, thin-walled with large, thorn-like papillae on inner surface; colour brown with longitudinal blue lines on head and body; a yellow area behind eye and 2 yellow bands extending anteriorly from eye; when alive, this fish is capable of changing its ground colour from dark brown to pale blue (Ref. 9808).","Adults inhabit steep slopes, often in turbid waters, generally in the vicinity of coral reefs (Ref. 58652) or rocky bottoms. They form resident spawning aggregations (Ref. 27825, 48637). Adults often seen in schools, feeding mid-water on plankton (Ref. 48637). Feed on zooplankton. Marketed fresh. Flesh is almost never poisonous (Ref. 4795), but incidence of ciguatera poisoning was reported from Nauru I. (Ref. 125620). The retractile sharp blades of the caudal peduncle can be dangerous (https://www.monaconatureencyclopedia.com/acanthurus-mata-2/?lang=en, ver. 12/2021)",  Traumatogenic (Ref. 4716),  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus nigricans,native,Whitecheek surgeonfish,Pala,"Maturity: Lm ?  range ? - ? cm
Max length : 36.0 cm FL male/unsexed; (Ref. 125599); max. published weight: 620.00 g (Ref. 125599); max. reported age: 34 years (Ref. 52229)","Dorsal spines (total): 9; Dorsal soft rays (total): 28-31; Anal spines: 3; Anal soft rays: 26 - 28. A horizontally elongate white blotch directly below eye. No orange band in outer part of dorsal fin. Caudal peduncle black except for yellow edge of socket and sheath of peduncular spine. Base of pectoral fin black (ref 9808).Gill rakers on anterior row:17-19, on posterior row:18-20.","Adults inhabit hard substrate areas of clear lagoon and seaward reefs from the lower surge zone to at least 67 m and feeds on filamentous algae. Solitary or in groups (Ref. 90102). Monogamous (Ref. 52884, 48637). Benthopelagic (Ref. 58302). Small juveniles shy among large corals (Ref. 48637). Territorial species. Common throughout Micronesia and hybridizes with the rare A. achilles. Size of metamorphosis from the postlarva stage to juvenile is 5.5 to 6 cm (Ref. 9267).",  Harmless,  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus nigrofuscus,native,Brown surgeonfish,Kalahandi,"Maturity: Lm 12.0, range 10 - 14 cm
Max length : 21.0 cm TL male/unsexed; (Ref. 30573)",Dorsal spines (total): 9; Dorsal soft rays (total): 24-27; Anal spines: 3; Anal soft rays: 22 - 24. Brown in color when preserved; with or without fine bluish gray longitudinal lines on body; pale pectoral fins with upper edge narrowly black; pelvic fins brown. Lips blackish brown; median upper teeth tend to be pointed. Dorsal fin base with a prominent black spot larger than 1/2 eye diameter; a smaller spot on base of anal fin. Groove of caudal spine encircled with a narrow black margin. Gill rakers on anterior row:20-24; on posterior row:18-23.,"Found on hard substrates of shallow lagoon and seaward reefs from the lower surge zone to a depth of more than 15 m (Ref. 27825). Benthopelagic (Ref. 58302). Feed on filamentous algae. Form spawning aggregations (Ref. 27825, 48637). Adults usually in small groups, but form large schools in some oceanic locations. Juveniles are often seen in mixed species aggregations (Ref. 48637). Species at the bottom of the 'pecking order' among surgeon fishes, and as a result employs the strategy of feeding in large schools that overwhelm the territorial defenses of other herbivores (Ref. 1602). Caught with nets (Ref. 30573). Can be eaten both raw and cooked (Ref. 7364). Maximum depth reported at 25m (Ref. 027115)",  Reports of ciguatera poisoning (Ref. 31637),  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus nigroris,native,Bluelined surgeonfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 25.0 cm TL male/unsexed; (Ref. 2334)","Dorsal spines (total): 9; Dorsal soft rays (total): 24-27; Anal spines: 3; Anal soft rays: 23 - 25. Color drab dark brown; spots on body located at the rear base of dorsal and anal fins. Black spot at rear base of dorsal fin not large, its greatest width more than 2 times in eye diameter. White posterior margin of caudal fin very narrow, its width less than 4 times in pupil diameter. No definite black margin around groove of peduncular spine. Body depth 1.8 to 2 times in SL. Maximum standard length about 20 cm (Ref 9808).","Inhabits clear lagoon and seaward reefs; often in areas with mixed coral, pavement, rubble and sand substrates (Ref. 1602). Benthopelagic (Ref. 58302). Occurs singly or in small groups (Ref. 9710). Feeds on filamentous algae, diatoms and fine algal film of compacted sand (Ref. 1602). Relatively uncommon throughout Micronesia; rare on Great Barrier Reef.",  Harmless,  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus pyroferus,native,Chocolate surgeonfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 29.0 cm TL male/unsexed; (Ref. 90102)","Dorsal spines (total): 8; Dorsal soft rays (total): 27-30; Anal spines: 3; Anal soft rays: 24 - 28. Purplish black in color; an orange diffused patch at edge of gill opening, just above pectoral fin base; a broad black band from upper end of gill opening to margin of gill cover down to isthmus; caudal spine socket with a narrow black margin. Blackish lips; a trace of orange behind eye; a white line under chin extending slightly above rictus. Gill rakers on anterior row 23-26; on posterior row 25-27. Juveniles can exhibit 3 different color patterns mimicking Centropyge species. Caudal fin rounded in juveniles.","Occurs in lagoon and seaward reefs; prefers areas of mixed coral, rock, or sand at the base of reefs or ledges, Ref. 48637. Also on silty reefs (Ref. 9710). Found singly (Ref. 9710). Juveniles mimic Centropyge spp. (in Guam, juveniles mimic C. flavissimus but in Palau where this species is absent, they mimic C. vrolikii), Ref. 48637. Presence of a venom gland could not be determined despite the presence of distinct anterolateral grooves; this may be due to the loss of venom glands in adults (Ref. 57406). Feeds on algae (Ref. 89972).",  Harmless,  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus tennentii,native,Doubleband surgeonfish,Karutha-kotti,"Maturity: Lm ?  range ? - ? cm
Max length : 31.0 cm TL male/unsexed; (Ref. 3145); common length : 25.0 cm TL male/unsexed; (Ref. 3146)","Dorsal spines (total): 9; Dorsal soft rays (total): 23-24; Anal spines: 3; Anal soft rays: 22 - 23. Brown in color, specimens up to 12 cm SL with black horseshoe mark on shoulder region breaking into 2 horizontal curved bands in larger specimens; caudal spine surrounded by a black area which is then surrounded by a bluish white area; caudal fin with a white posterior border (Ref. 3145).","Inhabits lagoon and seaward reefs, 1 to over 20 m depth (Ref. 9710, 48637). Also found in slopes from silty inshore to outer reefs (Ref. 48637). Solitary or in groups (Ref. 90102). Sometimes occurs in small shoals. Grazes on benthic algae (Ref. 30573).",  Reports of ciguatera poisoning (Ref. 30298),  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus thompsoni,native,Thompson's surgeonfish,Kalahandi,"Maturity: Lm ?  range ? - ? cm
Max length : 27.0 cm TL male/unsexed; (Ref. 3145)","Dorsal spines (total): 9; Dorsal soft rays (total): 23-26; Anal spines: 3; Anal soft rays: 23 - 26. Body uniformly brown to dark brown; caudal fin pale in color (snow white in live fishes). Small, dark spot below and adjacent to axil of pectoral fin. Anterior gill rakers 15-18; posterior 14-16. Snout length 7.9 to 8.2 times in SL. Least depth of caudal peduncle 2.2 to 2.5 times in head length (Ref 9808).","This occasionally schooling species occurs in steep outer reef slopes and drop-offs (Ref. 1602, 48637). Benthopelagic over coral and sand (Ref. 58302). Feeds on zooplankton, particularly large gelatinous forms, and on fish eggs and crustaceans (Ref. 1920).",  Harmless,  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Acanthurus triostegus,native,Convict surgeonfish,Kozhimeen,"Maturity: Lm 8.8  range ? - ? cm
Max length : 27.0 cm TL male/unsexed; (Ref. 3145); common length : 17.0 cm TL male/unsexed; (Ref. 9267)","Dorsal spines (total): 9; Dorsal soft rays (total): 22-26; Anal spines: 3; Anal soft rays: 19 - 22. Body olivaceous gray, with 4 vertical stripes (1 stripe on head across the yellow eye; 1 on caudal peduncle); shading to white ventrally, often with a sharp line of demarcation. Sharp, forward-pointing, erectile spine on each side of caudal peduncle which folds down into a groove. Scales minute. Teeth with denticulations on sides and top. Gill rakers 18-22 in anterior row, 19-24 in posterior row.","Adults occur in lagoon and seaward reefs with hard substrate; young abundant in tide pools (Ref. 3145, 48637). Benthopelagic (Ref. 58302). Often feeding near freshwater run-offs where certain algae grow on rocks that are grazed (Ref. 48637). Occasionally form schools; feed on filamentous algae in large aggregations. During spawning, clouds of eggs and sperm are preyed upon by eagle rays which are often present during spawning. Form spawning aggregations (Ref. 27825). Size of metamorphosis from post-larva stage to juvenile is 3.2 cm (Ref. 9267). Utilized as a food fish (Ref. 7364). Minimum depth reported taken from Ref. 27115.",  Reports of ciguatera poisoning (Ref. 4690),  Least Concern (LC) ; Date assessed: 04 May 2010
